#Temp	LTE cooling per molecule	Net cooling per molecule
1.25893e+09	5.35934e-19	2.65596e-11
1.33352e+09	5.35932e-19	2.65596e-11
1.41254e+09	5.35929e-19	2.65596e-11
1.49624e+09	5.35927e-19	2.65596e-11
1.58489e+09	5.35925e-19	2.65596e-11
1.67880e+09	5.35923e-19	2.65596e-11
1.77828e+09	5.35922e-19	2.65596e-11
1.88365e+09	5.35920e-19	2.65596e-11
1.99526e+09	5.35918e-19	2.65596e-11
2.11349e+09	5.35917e-19	2.65596e-11
2.23872e+09	5.35916e-19	2.65597e-11
2.37137e+09	5.35914e-19	2.65597e-11
2.51189e+09	5.35913e-19	2.65597e-11
2.66072e+09	5.35912e-19	2.65597e-11
2.81838e+09	5.35911e-19	2.65597e-11
2.98538e+09	5.35910e-19	2.65597e-11
3.16228e+09	5.35909e-19	2.65597e-11
3.34965e+09	5.35908e-19	2.65597e-11
3.54813e+09	5.35907e-19	2.65597e-11
3.75837e+09	5.35906e-19	2.65597e-11
3.98107e+09	5.35905e-19	2.65597e-11
4.21697e+09	5.35905e-19	2.65597e-11
4.46684e+09	5.35904e-19	2.65597e-11
4.73151e+09	5.35903e-19	2.65597e-11
5.01187e+09	5.35903e-19	2.65597e-11
5.30884e+09	5.35902e-19	2.65597e-11
5.62341e+09	5.35901e-19	2.65597e-11
5.95662e+09	5.35901e-19	2.65597e-11
6.30957e+09	5.35900e-19	2.65597e-11
6.68344e+09	5.35900e-19	2.65597e-11
7.07946e+09	5.35900e-19	2.65597e-11
7.49894e+09	5.35899e-19	2.65597e-11
7.94328e+09	5.35899e-19	2.65598e-11
8.41395e+09	5.35898e-19	-0.00000e+00
8.91251e+09	5.35898e-19	-0.00000e+00
9.44061e+09	5.35898e-19	-0.00000e+00
1.00000e+10	5.35897e-19	-0.00000e+00
